run_id,dag_id,status,last_run_start,next_dagrun_create_after,task_status,is_active,timetable_description
whitespace_client_delivery_2024-08-10T00:00:00+00:00_2024-09-30T07:31:03.843222+00:00_failed,whitespace_client_delivery,failed,2024-09-30T07:31:03.843222+00:00,2024-08-10T00:00:00+00:00,{},True,"At 00:00, on day 10 of the month"
whitespace_client_delivery_2024-09-10T00:00:00+00:00_2024-10-10T00:00:00.373311+00:00_failed,whitespace_client_delivery,failed,2024-10-10T00:00:00.373311+00:00,2024-09-10T00:00:00+00:00,{},True,"At 00:00, on day 10 of the month"
azure_test_client_delivery_2024-10-10T08:30:00+00:00_2024-10-14T12:30:50.409594+00:00_success,azure_test_client_delivery,success,2024-10-14T12:30:50.409594+00:00,2024-10-10T08:30:00+00:00,{},True,Every 30 minutes
azure_test_client_delivery_2024-10-10T09:17:12.010098+00:00_2024-10-10T09:27:59.928206+00:00_failed,azure_test_client_delivery,failed,2024-10-10T09:27:59.928206+00:00,2024-10-10T09:17:12.010098+00:00,{},True,Every 30 minutes
azure_test_client_delivery_2024-10-10T14:30:00+00:00_2024-10-10T15:25:21.099678+00:00_failed,azure_test_client_delivery,failed,2024-10-10T15:25:21.099678+00:00,2024-10-10T14:30:00+00:00,{},True,Every 30 minutes
azure_test_client_delivery_2024-10-10T15:00:00+00:00_2024-10-10T15:34:56.344336+00:00_failed,azure_test_client_delivery,failed,2024-10-10T15:34:56.344336+00:00,2024-10-10T15:00:00+00:00,{},True,Every 30 minutes
azure_test_client_delivery_2024-10-11T08:30:00+00:00_2024-10-11T09:01:52.851779+00:00_failed,azure_test_client_delivery,failed,2024-10-11T09:01:52.851779+00:00,2024-10-11T08:30:00+00:00,{},True,Every 30 minutes
azure_test_client_delivery_2024-10-11T09:30:00+00:00_2024-10-11T10:20:00.017929+00:00_success,azure_test_client_delivery,success,2024-10-11T10:20:00.017929+00:00,2024-10-11T09:30:00+00:00,{},True,Every 30 minutes
azure_test_client_delivery_2024-10-11T10:00:00+00:00_2024-10-11T10:40:40.352088+00:00_success,azure_test_client_delivery,success,2024-10-11T10:40:40.352088+00:00,2024-10-11T10:00:00+00:00,{},True,Every 30 minutes
azure_test_client_delivery_2024-10-11T10:30:00+00:00_2024-10-11T11:00:00.282193+00:00_success,azure_test_client_delivery,success,2024-10-11T11:00:00.282193+00:00,2024-10-11T10:30:00+00:00,{},True,Every 30 minutes
azure_test_client_delivery_2024-10-11T11:00:00+00:00_2024-10-14T12:29:56.756065+00:00_success,azure_test_client_delivery,success,2024-10-14T12:29:56.756065+00:00,2024-10-11T11:00:00+00:00,{},True,Every 30 minutes
azure_test_client_delivery_2024-10-11T12:00:00+00:00_2024-10-11T12:54:07.955603+00:00_failed,azure_test_client_delivery,failed,2024-10-11T12:54:07.955603+00:00,2024-10-11T12:00:00+00:00,{},True,Every 30 minutes
azure_test_client_delivery_2024-10-14T11:30:00+00:00_2024-10-14T12:29:31.459949+00:00_failed,azure_test_client_delivery,failed,2024-10-14T12:29:31.459949+00:00,2024-10-14T11:30:00+00:00,{},True,Every 30 minutes
azure_test_client_delivery_2024-10-14T12:00:00+00:00_2024-10-14T12:30:24.381318+00:00_failed,azure_test_client_delivery,failed,2024-10-14T12:30:24.381318+00:00,2024-10-14T12:00:00+00:00,{},True,Every 30 minutes
